iteration_frequency,error_pattern_change,time_to_completion,self_evaluation_score,external_feedback_quality,task_complexity_level,engagement_depth,confidence_level,knowledge_transfer_success,consistency_score,abstract_signal_strength,response_latency_variability,intentional_error_flag,revisit_rate,vocabulary_expansion_count,feedback_revision_delay,surprise_tolerance_score,exploratory_task_deviation,self_explanation_count,output_compression_ratio,emotional_consistency_score,curiosity_level
0,0.48,74.9,2,1,2,0.37,0.82,0,0.76,0.14,0.1,0,8,2,891.13,0.64,0.16,0,0.59,0.74,0.47
2,-0.56,10.0,5,0,1,0.19,0.92,1,0.78,0.56,0.72,0,8,13,0.0,0.87,0.5,4,0.22,0.83,0.85
0,0.52,172.15,2,3,5,0.54,0.6,0,0.52,0.34,0.16,1,5,3,844.75,0.4,0.71,5,0.09,0.54,0.69
11,0.21,161.3,1,3,6,0.28,0.45,1,0.82,0.54,0.97,1,6,2,1170.07,0.36,0.32,10,0.55,0.82,0.58
11,0.15,344.34,1,0,10,0.43,0.11,1,0.77,0.66,0.77,0,1,7,1200.43,0.57,0.56,3,0.87,0.77,0.98
14,0.27,160.37,3,1,5,0.76,0.57,1,0.84,0.37,0.21,0,4,20,579.01,0.79,0.45,5,0.07,0.76,0.74
17,0.46,113.73,2,3,3,0.91,0.66,1,0.73,0.38,0.99,1,10,17,867.43,0.35,0.34,7,0.22,0.65,0.51
7,0.64,46.68,3,3,1,0.82,0.76,0,0.75,0.27,0.21,0,9,10,590.65,0.47,0.26,3,0.21,0.81,0.17
20,-0.08,238.9,3,1,7,0.35,0.46,0,0.79,0.25,0.56,1,4,18,617.36,0.38,0.63,9,0.43,0.8,0.31
11,-0.56,205.88,2,3,7,0.65,0.39,0,0.85,0.09,0.05,0,1,4,841.67,0.61,0.52,5,0.63,0.89,0.29
19,-0.87,220.73,4,3,7,0.5,0.47,0,0.71,0.53,0.97,0,0,3,480.64,0.51,0.44,4,0.68,0.74,0.6
20,-0.32,124.32,3,3,5,0.3,0.65,1,0.62,0.16,0.0,0,4,16,578.28,0.3,0.67,4,0.76,0.56,0.09
20,-0.4,75.15,5,1,2,0.3,0.92,1,0.81,0.15,0.76,0,8,16,51.62,0.44,0.59,4,0.92,0.92,0.64
15,-0.96,152.02,3,2,6,0.22,0.66,0,0.62,0.24,0.24,1,9,2,585.95,0.4,0.53,8,0.09,0.67,0.9
17,0.53,68.43,2,3,2,0.56,0.77,0,0.54,0.95,0.17,0,8,19,879.36,0.62,0.65,1,0.42,0.58,0.91
6,0.43,233.38,4,2,9,0.75,0.23,0,0.83,0.44,0.52,0,1,7,304.21,0.31,0.71,2,0.22,0.88,0.56
18,0.11,29.63,5,1,1,0.65,0.83,0,0.71,0.01,0.71,1,0,7,12.18,0.74,0.41,5,0.07,0.67,0.35
2,0.03,165.68,3,3,6,0.23,0.43,0,0.71,0.21,0.13,0,9,18,614.54,0.67,0.43,3,0.47,0.77,0.54
6,-0.81,210.38,4,2,7,0.26,0.64,0,0.33,0.42,0.47,0,0,20,280.11,0.54,0.53,0,0.98,0.29,0.09
12,0.46,52.26,1,1,1,0.65,1.0,0,0.77,0.19,0.54,1,2,13,1097.13,0.68,0.01,8,0.18,0.78,0.31
2,-0.11,121.41,5,0,4,0.16,0.64,0,0.94,0.05,1.0,0,0,2,12.12,0.67,0.51,1,0.93,1.0,0.64
13,-0.03,134.67,2,3,3,0.48,0.84,0,0.3,0.9,0.16,0,0,12,755.46,0.32,0.5,3,0.27,0.31,0.57
13,0.39,149.02,5,3,5,0.42,0.57,1,0.65,0.15,0.3,0,0,18,0.0,0.65,0.34,0,0.74,0.7,0.23
1,-0.9,195.44,4,1,6,0.75,0.62,1,0.87,0.06,0.51,0,2,2,178.39,0.86,0.31,5,0.6,0.84,0.84
12,-0.76,126.1,5,1,4,0.16,0.56,1,0.79,0.58,0.04,0,1,13,0.0,0.89,0.22,4,0.66,0.75,0.72
10,0.87,262.85,2,2,9,0.22,0.19,1,0.78,0.24,0.4,0,10,20,837.37,0.65,0.69,2,0.3,0.74,0.5
0,-0.08,10.0,5,0,2,0.65,0.68,0,0.76,0.07,0.21,0,4,4,0.0,0.63,0.79,0,0.93,0.74,0.26
11,-0.43,122.68,4,2,4,0.67,0.78,0,0.71,0.61,0.99,0,10,16,331.56,0.61,0.76,4,0.01,0.76,0.16
3,0.88,174.88,2,2,5,0.41,0.36,0,0.37,0.12,0.11,0,8,4,977.53,0.6,0.67,4,0.27,0.4,0.15
10,-0.59,132.06,3,3,4,0.37,0.64,0,0.46,0.25,0.91,0,0,2,537.31,0.37,0.67,2,0.63,0.51,0.63
0,-0.33,33.28,2,2,1,0.55,0.99,1,0.71,0.16,0.44,0,6,17,857.71,0.44,0.47,0,0.01,0.66,0.28
17,-0.93,20.38,3,1,3,0.89,0.72,1,0.6,0.43,0.04,0,5,1,668.45,0.88,0.6,1,0.9,0.59,0.15
3,-0.29,121.78,5,3,4,0.54,0.66,1,0.73,0.97,0.75,0,3,5,0.0,0.47,0.43,1,0.98,0.81,0.38
0,-0.64,224.56,3,3,7,0.48,0.34,1,0.76,0.8,0.86,0,3,8,564.54,0.85,0.83,5,0.16,0.74,0.21
12,0.74,50.71,4,1,2,0.83,0.67,1,0.95,0.2,0.92,0,5,9,350.33,0.19,0.48,1,0.82,0.98,0.67
0,0.32,184.66,4,2,4,0.45,0.73,1,0.57,0.28,0.07,0,4,11,315.59,0.73,0.82,3,0.64,0.49,0.95
10,0.88,231.61,1,2,9,0.66,0.22,1,0.76,0.18,0.96,0,4,1,1256.07,0.74,0.64,3,0.11,0.81,0.87
