iteration_frequency,error_pattern_change,time_to_completion,self_evaluation_score,external_feedback_quality,task_complexity_level,engagement_depth,confidence_level,knowledge_transfer_success,consistency_score,abstract_signal_strength,response_latency_variability,intentional_error_flag,revisit_rate,vocabulary_expansion_count,feedback_revision_delay,surprise_tolerance_score,exploratory_task_deviation,self_explanation_count,output_compression_ratio,emotional_consistency_score,curiosity_level
12,0.15,345.2,3,2,6,0.78,0.65,1,0.82,0.7,0.25,0,4,12,60.5,0.75,0.15,6,0.55,0.8,0.68
8,-0.05,210.8,4,3,4,0.92,0.88,1,0.91,0.85,0.1,0,2,18,30.2,0.88,0.05,8,0.75,0.9,0.85
15,0.4,480.1,2,1,8,0.55,0.4,0,0.6,0.45,0.4,0,7,7,120.8,0.5,0.3,3,0.3,0.55,0.4
5,-0.2,150.5,5,3,3,0.95,0.95,1,0.95,0.9,0.08,0,1,15,15.7,0.92,0.02,9,0.85,0.92,0.9
10,0.02,300.7,3,2,5,0.85,0.75,1,0.88,0.78,0.18,0,3,10,75.3,0.8,0.1,7,0.68,0.85,0.75
18,0.6,550.9,1,1,9,0.4,0.3,0,0.5,0.3,0.55,1,9,5,200.1,0.4,0.45,7,0.2,0.4,0.3
6,-0.1,180.3,4,2,4,0.89,0.82,1,0.89,0.8,0.12,0,2,14,45.9,0.85,0.08,8,0.7,0.88,0.8
14,0.25,410.6,2,1,7,0.65,0.5,0,0.7,0.55,0.35,0,6,8,90.6,0.6,0.25,4,0.45,0.65,0.5
9,-0.08,240.4,4,3,4,0.9,0.8,1,0.9,0.82,0.15,0,3,16,25.4,0.89,0.07,9,0.78,0.9,0.82
16,0.35,500.0,2,1,8,0.5,0.35,0,0.58,0.4,0.48,1,8,6,150.0,0.45,0.4,6,0.25,0.5,0.35
7,-0.15,195.0,5,3,3,0.93,0.9,1,0.93,0.88,0.09,0,1,17,20.1,0.91,0.03,10,0.8,0.91,0.88
11,0.1,360.5,3,2,6,0.7,0.6,1,0.75,0.65,0.2,0,5,11,80.2,0.7,0.2,5,0.5,0.7,0.6
19,0.7,580.2,1,0,10,0.3,0.2,0,0.45,0.25,0.6,1,10,4,250.0,0.35,0.5,8,0.15,0.35,0.25
4,-0.25,120.1,5,3,2,0.98,0.98,1,0.98,0.95,0.05,0,0,19,10.0,0.95,0.01,10,0.9,0.95,0.92
13,0.2,380.7,3,2,7,0.6,0.45,0,0.68,0.5,0.3,0,6,9,100.4,0.55,0.3,4,0.4,0.6,0.45
20,0.8,590.5,1,0,10,0.2,0.1,0,0.4,0.2,0.65,1,10,3,280.0,0.3,0.55,9,0.1,0.3,0.2
3,-0.3,100.0,5,3,1,1.0,1.0,1,1.0,0.98,0.02,0,0,20,5.0,0.98,0.0,10,0.95,0.98,0.95
17,0.5,520.8,1,0,9,0.35,0.25,0,0.52,0.35,0.5,1,9,2,180.0,0.4,0.48,7,0.18,0.45,0.3
11,0.18,370.1,3,2,6,0.72,0.68,1,0.78,0.68,0.22,0,4,13,65.3,0.78,0.18,6,0.6,0.75,0.7
7,-0.12,205.5,4,3,4,0.9,0.85,1,0.9,0.83,0.11,0,2,17,35.8,0.87,0.06,8,0.72,0.87,0.83
16,0.45,510.3,2,1,8,0.48,0.38,0,0.56,0.42,0.46,1,8,6,160.0,0.42,0.42,6,0.28,0.48,0.38
9,-0.07,250.7,4,3,4,0.88,0.78,1,0.88,0.8,0.16,0,3,15,28.9,0.86,0.09,9,0.7,0.88,0.78
14,0.3,420.0,2,1,7,0.62,0.48,0,0.65,0.52,0.38,0,7,9,95.2,0.58,0.28,4,0.42,0.62,0.48
6,-0.18,175.0,5,3,3,0.96,0.93,1,0.96,0.9,0.07,0,1,18,18.5,0.93,0.04,10,0.82,0.93,0.9
19,0.65,560.1,1,1,9,0.38,0.28,0,0.48,0.28,0.58,1,9,5,220.0,0.38,0.48,7,0.17,0.38,0.28
13,0.22,390.9,3,2,7,0.58,0.42,0,0.66,0.48,0.32,0,6,8,105.0,0.52,0.32,4,0.38,0.58,0.42
20,0.75,595.0,1,0,10,0.25,0.15,0,0.42,0.22,0.62,1,10,4,290.0,0.32,0.52,8,0.12,0.32,0.22
3,-0.28,110.0,5,3,2,0.99,0.99,1,0.99,0.96,0.04,0,0,19,8.0,0.97,0.02,10,0.92,0.97,0.94
17,0.55,530.0,1,0,9,0.33,0.23,0,0.5,0.33,0.52,1,9,3,190.0,0.38,0.5,7,0.16,0.43,0.28
12,0.1,330.0,3,2,6,0.8,0.7,1,0.85,0.72,0.2,0,4,14,55.0,0.78,0.1,6,0.58,0.82,0.7
8,-0.02,220.5,4,3,4,0.9,0.87,1,0.92,0.86,0.09,0,2,17,28.0,0.89,0.04,8,0.78,0.91,0.86
15,0.38,470.5,2,1,8,0.58,0.42,0,0.62,0.47,0.38,0,7,8,115.0,0.52,0.28,3,0.32,0.58,0.42
5,-0.18,160.0,5,3,3,0.93,0.92,1,0.94,0.89,0.09,0,1,16,18.0,0.9,0.03,9,0.82,0.9,0.88
10,0.05,310.2,3,2,5,0.82,0.72,1,0.86,0.75,0.19,0,3,11,70.0,0.78,0.12,7,0.65,0.82,0.72
18,0.62,540.0,1,1,9,0.38,0.28,0,0.51,0.32,0.53,1,9,6,210.0,0.39,0.47,7,0.19,0.42,0.32
6,-0.08,190.0,4,2,4,0.87,0.8,1,0.87,0.79,0.13,0,2,13,42.0,0.83,0.07,8,0.68,0.86,0.78
14,0.28,400.0,2,1,7,0.68,0.52,0,0.72,0.58,0.33,0,6,10,85.0,0.62,0.22,4,0.48,0.68,0.52
9,-0.05,230.0,4,3,4,0.92,0.85,1,0.91,0.84,0.13,0,3,17,22.0,0.9,0.06,9,0.8,0.91,0.84
16,0.4,490.0,2,1,8,0.52,0.37,0,0.6,0.44,0.44,1,8,7,140.0,0.48,0.38,6,0.27,0.52,0.37
7,-0.1,185.0,5,3,3,0.9,0.88,1,0.91,0.86,0.1,0,1,16,25.0,0.89,0.05,10,0.78,0.89,0.86
11,0.12,350.0,3,2,6,0.75,0.63,1,0.77,0.67,0.23,0,5,10,70.0,0.72,0.17,5,0.52,0.72,0.63
19,0.68,570.0,1,0,10,0.32,0.22,0,0.47,0.27,0.6,1,10,5,230.0,0.37,0.47,8,0.16,0.37,0.27
4,-0.22,130.0,5,3,2,0.97,0.97,1,0.97,0.94,0.06,0,0,18,12.0,0.94,0.02,10,0.88,0.94,0.9
13,0.25,395.0,3,2,7,0.63,0.48,0,0.7,0.53,0.3,0,6,9,110.0,0.57,0.27,4,0.43,0.67,0.48
20,0.78,598.0,1,0,10,0.2,0.12,0,0.41,0.21,0.63,1,10,4,300.0,0.31,0.53,9,0.11,0.31,0.21
3,-0.25,105.0,5,3,1,0.99,0.99,1,0.99,0.97,0.03,0,0,20,7.0,0.98,0.01,10,0.93,0.98,0.95
17,0.58,540.0,1,0,9,0.3,0.2,0,0.49,0.31,0.51,1,9,2,200.0,0.36,0.49,7,0.15,0.4,0.25
12,0.18,355.0,3,2,6,0.76,0.66,1,0.8,0.71,0.24,0,4,13,62.0,0.76,0.16,6,0.57,0.78,0.69
8,-0.03,215.0,4,3,4,0.91,0.86,1,0.91,0.85,0.1,0,2,18,33.0,0.87,0.05,8,0.76,0.89,0.84
15,0.42,475.0,2,1,8,0.53,0.39,0,0.61,0.46,0.39,0,7,7,125.0,0.51,0.31,3,0.31,0.57,0.41
5,-0.15,155.0,5,3,3,0.94,0.93,1,0.95,0.9,0.08,0,1,15,17.0,0.91,0.03,9,0.84,0.91,0.89
10,0.0,305.0,3,2,5,0.83,0.73,1,0.87,0.77,0.17,0,3,10,72.0,0.79,0.11,7,0.67,0.84,0.74
18,0.6,545.0,1,1,9,0.36,0.26,0,0.5,0.31,0.52,1,9,6,215.0,0.39,0.46,7,0.18,0.41,0.31
6,-0.13,188.0,4,2,4,0.88,0.81,1,0.88,0.8,0.12,0,2,14,44.0,0.84,0.07,8,0.69,0.87,0.79
14,0.27,405.0,2,1,7,0.66,0.51,0,0.71,0.56,0.34,0,6,9,88.0,0.61,0.24,4,0.47,0.66,0.51
9,-0.06,235.0,4,3,4,0.91,0.84,1,0.9,0.83,0.14,0,3,16,24.0,0.89,0.06,9,0.79,0.9,0.83
16,0.41,495.0,2,1,8,0.51,0.36,0,0.59,0.43,0.45,1,8,7,145.0,0.47,0.39,6,0.26,0.51,0.36
7,-0.11,192.0,5,3,3,0.91,0.89,1,0.92,0.87,0.09,0,1,17,23.0,0.9,0.04,10,0.79,0.9,0.87
11,0.11,358.0,3,2,6,0.73,0.64,1,0.76,0.66,0.22,0,5,11,73.0,0.71,0.18,5,0.51,0.71,0.64
19,0.69,575.0,1,0,10,0.31,0.21,0,0.46,0.26,0.61,1,10,5,235.0,0.36,0.46,8,0.15,0.36,0.26
4,-0.23,125.0,5,3,2,0.98,0.98,1,0.98,0.95,0.05,0,0,19,11.0,0.95,0.01,10,0.89,0.95,0.91
13,0.23,385.0,3,2,7,0.61,0.46,0,0.69,0.51,0.31,0,6,9,102.0,0.56,0.29,4,0.41,0.68,0.46
20,0.79,599.0,1,0,10,0.19,0.11,0,0.4,0.2,0.64,1,10,3,295.0,0.3,0.54,9,0.1,0.3,0.2
3,-0.27,102.0,5,3,1,0.99,0.99,1,0.99,0.97,0.02,0,0,20,6.0,0.98,0.0,10,0.94,0.98,0.96
17,0.59,535.0,1,0,9,0.32,0.22,0,0.48,0.3,0.5,1,9,2,195.0,0.37,0.48,7,0.14,0.39,0.24
12,0.16,340.0,3,2,6,0.77,0.67,1,0.81,0.7,0.24,0,4,12,58.0,0.77,0.14,6,0.56,0.79,0.69
8,-0.04,208.0,4,3,4,0.91,0.87,1,0.91,0.85,0.09,0,2,18,31.0,0.88,0.05,8,0.77,0.9,0.85
15,0.43,485.0,2,1,8,0.54,0.41,0,0.63,0.48,0.4,0,7,7,128.0,0.53,0.32,3,0.33,0.59,0.43
5,-0.17,158.0,5,3,3,0.94,0.94,1,0.96,0.91,0.07,0,1,15,16.0,0.92,0.02,9,0.83,0.92,0.9
10,0.03,308.0,3,2,5,0.84,0.74,1,0.87,0.76,0.18,0,3,11,73.0,0.79,0.1,7,0.66,0.85,0.74
18,0.61,548.0,1,1,9,0.37,0.27,0,0.51,0.32,0.53,1,9,6,218.0,0.39,0.47,7,0.19,0.42,0.32
6,-0.09,185.0,4,2,4,0.89,0.82,1,0.89,0.8,0.11,0,2,14,46.0,0.85,0.08,8,0.7,0.88,0.8
14,0.26,412.0,2,1,7,0.64,0.49,0,0.7,0.54,0.34,0,6,8,92.0,0.6,0.26,4,0.46,0.65,0.5
9,-0.07,242.0,4,3,4,0.89,0.81,1,0.89,0.81,0.15,0,3,16,26.0,0.88,0.07,9,0.77,0.89,0.81
16,0.37,502.0,2,1,8,0.49,0.34,0,0.57,0.41,0.47,1,8,6,152.0,0.46,0.41,6,0.24,0.49,0.34
7,-0.14,198.0,5,3,3,0.92,0.9,1,0.93,0.87,0.08,0,1,17,21.0,0.91,0.03,10,0.81,0.91,0.88
11,0.13,362.0,3,2,6,0.71,0.61,1,0.74,0.64,0.21,0,5,11,82.0,0.69,0.19,5,0.49,0.69,0.61
19,0.71,582.0,1,0,10,0.29,0.19,0,0.44,0.24,0.62,1,10,4,255.0,0.34,0.52,8,0.13,0.34,0.24
4,-0.24,128.0,5,3,2,0.97,0.97,1,0.97,0.94,0.05,0,0,19,11.5,0.94,0.01,10,0.89,0.94,0.91
13,0.21,382.0,3,2,7,0.59,0.44,0,0.67,0.49,0.31,0,6,9,104.0,0.54,0.31,4,0.39,0.66,0.44
20,0.81,595.0,1,0,10,0.18,0.1,0,0.39,0.19,0.66,1,10,3,285.0,0.29,0.56,9,0.09,0.29,0.19
